Station,Sediment sample,Latitude Degrees,Latitude Minutes,Latitude Seconds,North/South,Longitude Degrees,Longitude Minutes,Longitude Seconds,East/West,Decimal_Longitude,Decimal_Latitude,Location,FAOarea,Water body,Sea Area,Place,Date,Gear,Depth (fathoms),Bottom water temperature (C) ,Bottom temp (F),Bottom water depth D (fathoms),Specific Gravity at bottom,Surface temp (C),Surface temp (F),Specific Gravity at surface,Temp (F) at 10 Fathoms,Temp (F) at 20 Fathoms,Temp (F) at 25 Fathoms,Temp (F) at 30 Fathoms,Temp (F) at 40 Fathoms,Temp (F) at 50 Fathoms,Temp (F) at 60 Fathoms,Temp (F) at 70 Fathoms,Temp (F) at 75 Fathoms,Temp (F) at 80 Fathoms,Temp (F) at 90 Fathoms,Temp (F) at 100 Fathoms,Temp (F) at 110 Fathoms,Temp (F) at 120 Fathoms,Temp (F) at 125 Fathoms,Temp (F) at 130 Fathoms,Temp (F) at 140 Fathoms,Temp (F) at 150 Fathoms,Temp (F) at 160 Fathoms,Temp (F) at 170 Fathoms,Temp (F) at 175 Fathoms,Temp (F) at 180 Fathoms,Temp (F) at 190 Fathoms,Temp (F) at 200 Fathoms,Temp (F) at 225 Fathoms,Temp (F) at 250 Fathoms,Temp (F) at 275 Fathoms,Temp (F) at 300 Fathoms,Temp (F) at 400 Fathoms,Temp (F) at 500 Fathoms,Temp (F) at 600 Fathoms,Temp (F) at 700 Fathoms,Temp (F) at 800 Fathoms,Temp (F) at 900 Fathoms,Temp (F) at 1000 Fathoms,Temp (F) at 1100 Fathoms,Temp (F) at 1200 Fathoms,Temp (F) at 1300 Fathoms,Temp (F) at 1330 Fathoms,Temp (F) at 1400 Fathoms,Temp (F) at 1450 Fathoms,Temp (F) at 1500 Fathoms,Temp (F) at 1530 Fathoms,Temp (F) at 1580 Fathoms,Temp (F) at 1600 Fathoms,Temp (F) at 1650 Fathoms,Temp (F) at 1700 Fathoms,Temp (F) at 1725 Fathoms,Temp (F) at 1730 Fathoms,Temp (F) at 1775 Fathoms,Temp (F) at 1780 Fathoms,Temp (F) at 1800 Fathoms,Temp (F) at 1825 Fathoms,Temp (F) at 1850 Fathoms,Temp (F) at 1900 Fathoms,Temp (F) at 1915 Fathoms,Temp (F) at 1980 Fathoms,Temp (F) at 2000 Fathoms,Temp (F) at 2025 Fathoms,Temp (F) at 2100 Fathoms,Temp (F) at 2125Fathoms,Temp (F) at 2180 Fathoms,Temp (F) at 2200 Fathoms,Temp (F) at 2225 Fathoms,Temp (F) at 2270 Fathoms,Temp (F) at 2300 Fathoms,Temp (F) at 2325 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2425 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2500 Fathoms,Temp (F) at 2525 Fathoms,Temp (F) at 2600 Fathoms,Temp (F) at 2625 Fathoms,Temp (F) at 2650 Fathoms,Temp (F) at 2675 Fathoms,Temp (F) at 2700 Fathoms,Temp (F) at 2775 Fathoms,Temp (F) at 2800 Fathoms,Temp (F) at 2900 Fathoms,
109B,Hard ground,0,54,55,N,29,22,17,W,-29.37,0.92,St. Paul Rocks,34,Eastern Central Atlantic Ocean,,Brazil,29/08/1873,,510,,,,,24.72,76.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109C,Globigerina ooze,0,56,23,N,29,22,15,W,-29.37,0.94,St. Paul Rocks,34,Eastern Central Atlantic Ocean,,Brazil,29/08/1873,,780,,,,,24.72,76.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109D,Globigerina ooze,0,56,4,N,29,25,2,W,-29.42,0.93,St. Paul Rocks,34,Eastern Central Atlantic Ocean,,Brazil,29/08/1873,,1425,,,,,25.00,77.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Globigerina ooze,0,9,0,N,30,18,0,W,-30.30,0.15,South of St. Paul Rocks,41,Southwest Atlantic Ocean,,Brazil,30/08/1873,,2275,1.56,34.80,2275,1.02809,25.28,77.50,1.02408,77.4,77.2,,77,71.8,67,62.7,,59.8,,,56.2,,,,,,,,,,,,46.8,,,,42,40,39.8,39.6,39.4,39.2,38.8,38.4,38,37.6,37.3,,37,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Globigerina ooze,1,45,0,S,30,58,0,W,-30.97,-1.75,Between St. Paul Rocks and Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,31/08/1873,,2475,0.94,33.70,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Globigerina ooze,3,33,0,S,32,16,0,W,-32.27,-3.55,North of Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,01/09/1873,,2200,1.11,34.00,2200,1.02817,25.56,78.00,,78,78,,77.5,73.3,63.2,59,,56.5,,,54.4,,,,,,,,,,,,46.8,,,,42,40,39.7,39.7,39.7,39.7,38.6,38.1,37.9,37.8,37.7,,37.6,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Globigerina ooze,3,40,45,S,32,22,0,W,-32.37,-3.68,North of Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,01/09/1873,,1010,3.06,37.50,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113A,Hard ground,3,47,0,S,32,24,30,W,-32.41,-3.78,Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,01/09/1873,,25,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113B,Hard ground,3,50,30,S,32,30,0,W,-32.50,-3.84,Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,03/09/1873,,400,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113C,Hard ground,3,54,0,S,32,36,15,W,-32.60,-3.90,South of Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,03/09/1873,,525,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Hard ground,3,58,0,S,32,42,0,W,-32.70,-3.97,SW of Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,03/09/1873,,820,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Globigerina ooze,4,2,0,S,32,47,0,W,-32.78,-4.03,SW of Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,03/09/1873,,2150,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Globigerina ooze,5,1,0,S,33,50,0,W,-33.83,-5.02,"Off Cape Sao Roque, Brazil",41,Southwest Atlantic Ocean,,Brazil,04/09/1873,,2275,1.28,34.30,2275,1.02818,25.56,78.00,1.02362,,,,,,,,,,,,54.5,,,,,,,,,,,,45.4,,,,41.9,40,39.3,39,38.7,38.5,38.3,38.1,37.9,37.7,37.5,,37.2,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Globigerina ooze,5,56,0,S,34,50,0,W,-34.83,-5.93,"Off Cape Sao Roque, Brazil",41,Southwest Atlantic Ocean,,Brazil,06/09/1873,,1375,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117A,Red mud,6,4,0,S,34,51,0,W,-34.85,-6.07,"Off Cape Sao Roque, Brazil",41,Southwest Atlantic Ocean,,Brazil,06/09/1873,,500,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Globigerina ooze,7,28,0,S,34,2,0,W,-34.03,-7.47,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,08/09/1873,,2050,1.78,35.20,,,25.28,77.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Globigerina ooze,7,39,0,S,34,12,0,W,-34.20,-7.65,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,08/09/1873,,1650,2.89,37.20,,,25.28,77.50,1.0248,,,,,,,,,,,,62.2,,,,,,,,,,,,47.5,,,,41,39.5,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Red mud,8,37,0,S,34,28,0,W,-34.47,-8.62,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,09/09/1873,Trawl,675,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Red mud,8,28,0,S,34,31,0,W,-34.52,-8.47,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,09/09/1873,Trawl,500,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Red clay,9,5,0,S,34,50,0,W,-34.83,-9.08,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,10/09/1873,Trawl,350,,,,,25.28,77.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122A,Red clay,9,10,0,S,34,52,0,W,-34.87,-9.17,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,10/09/1873,Trawl,120,,,,,25.28,77.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122B,Red sandy mud,9,9,0,S,34,53,0,W,-34.88,-9.15,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,10/09/1873,Trawl,32,,,,,25.28,77.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122C,Red mud,9,10,0,S,34,49,0,W,-34.82,-9.17,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,10/09/1873,Trawl,400,,,400,,25.28,77.50,1.0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Globigerina ooze,10,9,0,S,35,11,0,W,-35.18,-10.15,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,11/09/1873,,1715,2.78,37.00,,,25.28,77.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Globigerina ooze,10,11,0,S,35,22,0,W,-35.37,-10.18,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,11/09/1873,Trawl,1600,,,1600,,25.28,77.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Red mud,10,46,0,S,36,2,0,W,-36.03,-10.77,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,12/09/1873,,1200,,,1200,,25.00,77.00,1.02495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Red mud,10,46,0,S,36,8,0,W,-36.13,-10.77,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,12/09/1873,Trawl,770,,,,,25.00,77.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126A,Red mud,10,45,0,S,36,9,0,W,-36.15,-10.75,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,12/09/1873,Trawl,700,,,,,25.00,77.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Red mud,11,42,0,S,37,3,0,W,-37.05,-11.70,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,13/09/1873,,1015,3.61,38.50,,,25.00,77.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Globigerina ooze,13,6,0,S,38,7,0,W,-38.12,-13.10,"Off Bahia, Brazil",41,Southwest Atlantic Ocean,,Brazil,14/09/1873,,1275,,,,,24.72,76.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Globigerina ooze,20,13,0,S,35,19,0,W,-35.32,-20.22,"Off Spirito Santo, Brazil",41,Southwest Atlantic Ocean,,Brazil,30/09/1873,Dredge,2150,1.22,34.20,,,23.33,74.00,1.02557,,,,,,,,,65.9,,,63.2,,,,,,,,,,,,51.5,,,,43.5,40.1,38.8,38.1,37.7,37.3,37.1,36.9,36.7,36.5,36.3,,36.1,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Globigerina ooze,26,15,0,S,32,56,0,W,-32.93,-26.25,Brazilian Basin,41,Southwest Atlantic Ocean,,Brazil,03/10/1873,Trawl,2350,1.50,34.70,2350,1.02928,20.56,69.00,1.02587,,,,,,,,,,,,,60.5,,,,,,,,,,,54.3,,,,48.3,42.8,39,38,37.5,37.3,37.1,37,36.9,36.8,36.7,,36.6,,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Globigerina ooze,29,35,0,S,28,9,0,W,-28.15,-29.58,Brazilian Basin,41,Southwest Atlantic Ocean,,Brazil,06/10/1873,Trawl,2275,1.44,34.60,,,18.33,65.00,1.02607,,,,,,,,,,,,61,,,,,,,,,,,,54.7,,,,48.5,42.2,39.2,37.9,37.5,37.3,37.1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Globigerina ooze,35,25,0,S,23,40,0,W,-23.67,-35.42,Mid Atlantic Ridge,41,Southwest Atlantic Ocean,,,10/10/1873,,2050,1.67,35.00,2050,1.02796,14.44,58.00,1.02642,58,,,,,,,,,,,55.2,,,,,,,,,,,,50,,,,43.8,40,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Globigerina ooze,35,41,0,S,20,55,0,W,-20.92,-35.68,Mid Atlantic Ridge,41,Southwest Atlantic Ocean,,,11/10/1873,Trawl,1900,1.89,35.40,1900,1.02792,14.44,58.00,1.0265,,,57.5,,,56.9,,,56.2,,,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Globigerina ooze,36,12,0,S,12,16,0,W,-12.27,-36.20,North of Tristan da Cunha Island,47,Southeast Atlantic Ocean,,British Overseas Territory,14/10/1873,Dredge,2025,2.22,36.00,2025,1.02786,11.94,53.50,1.02679,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,37.2,,37,,36.8,,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Volcanic sand,37,1,50,S,12,19,10,W,-12.32,-37.03,Tristan da Cunha Island,47,Southeast Atlantic Ocean,,British Overseas Territory,15/10/1873,,360,,,,,11.94,53.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135A,"Hard ground, shells and gravel",37,16,50,S,12,45,15,W,-12.75,-37.28,Inaccessible Island (Tristan da Cunha Island),47,Southeast Atlantic Ocean,,British Overseas Territory,16/10/1873,Dredge,75,,,,,12.22,54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135B,"Hard ground, shells and gravel",37,22,30,S,12,33,0,W,-12.55,-37.38,Nightingale Island (Tristan da Cunha Island),47,Southeast Atlantic Ocean,,British Overseas Territory,17/10/1873,,465,,,,,11.94,53.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135C,Coarse shells,37,25,30,S,12,28,30,W,-12.48,-37.43,Nightingale Island (Tristan da Cunha Island),47,Southeast Atlantic Ocean,,British Overseas Territory,17/10/1873,Dredge,110,,,,,12.22,54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135D,Coarse shells,37,25,0,S,12,30,30,W,-12.51,-37.42,Nightingale Island (Tristan da Cunha Island),47,Southeast Atlantic Ocean,,British Overseas Territory,17/10/1873,Dredge,72,,,,,12.22,54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135E,"Hard ground, shells and gravel",37,21,0,S,12,22,30,W,-12.38,-37.35,Tristan da Cunha Island,47,Southeast Atlantic Ocean,,British Overseas Territory,18/10/1873,Dredge,1000,,,,,11.94,53.50,,,,,,,,,,,,,48.5,,,,,,,,,,,,45.1,,,,42.3,40,38.3,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135F,Hard ground,37,14,45,S,12,20,15,W,-12.34,-37.25,Tristan da Cunha Island,47,Southeast Atlantic Ocean,,British Overseas Territory,18/10/1873,Dredge,1100,,,,,11.94,53.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135G,Hard ground,37,10,50,S,12,18,30,W,-12.31,-37.18,Tristan da Cunha Island,47,Southeast Atlantic Ocean,,British Overseas Territory,18/10/1873,Dredge,550,,,,,12.22,54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,36,43,0,S,7,13,0,W,-7.22,-36.72,East of Tristan da Cunha Island,47,Southeast Atlantic Ocean,,British Overseas Territory,20/10/1873,Dredge,2100,1.78,35.20,2100,1.02798,12.22,54.00,1.02685,,,,,,,,,,,,52.2,,,,,,,,,,,,49.2,,,,43.2,39.5,38,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Globigerina ooze,35,59,0,S,1,34,0,E,1.57,-35.98,Cape Basin,47,Southeast Atlantic Ocean,,South Africa,23/10/1873,Dredge,2550,1.39,34.50,2550,1.02793,13.39,56.10,1.02681,,,,,,56,,,,,,55.6,,,,,,54.3,,,,54.3,,51.8,,47.9,,44.6,40.4,38.7,,37,,36.8,,36.6,,36.5,,,,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Red clay,36,22,0,S,8,12,0,E,8.20,-36.37,Cape Basin,47,Southeast Atlantic Ocean,,South Africa,25/10/1873,,2560,1.72,35.10,2650,1.02786,13.44,56.20,1.02674,,,,,,56.1,,,,,,56,,,,,,53.5,,,,,,50.5,,47,,44,39.9,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Globigerina ooze,35,35,0,S,16,9,0,E,16.15,-35.58,Off SW of Cape of Good Hope,47,Southeast Atlantic Ocean,,South Africa,27/10/1873,,2325,1.17,34.10,2325,1.02791,13.44,56.20,1.0266,56.2,56,,55,52.9,52.3,52.1,52,,51.8,51.6,51.5,,51.5,,,,47.3,,,,,,45.8,,44,,41,38,37.5,,37.2,,37,,36.8,,36.6,,,,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Globigerina ooze,35,0,0,S,17,57,0,E,17.95,-35.00,Off SW of Cape of Good Hope,47,Southeast Atlantic Ocean,,South Africa,28/10/1873,,1250,,,,,15.00,59.00,,58.7,58.4,,58.1,56.9,54.6,53.3,53,,53,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Green sand,34,41,0,S,18,36,0,E,18.60,-34.68,South of Cape of Good Hope,47,Southeast Atlantic Ocean,,South Africa,17/12/1873,Dredge,98,9.72,49.50,,,19.17,66.50,,66.2,65.3,,63.9,59.8,54.9,52.8,51.4,,50.3,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Green sand,35,4,0,S,18,37,0,E,18.62,-35.07,South of Cape of Good Hope,47,Southeast Atlantic Ocean,,South Africa,18/12/1873,Dredge,150,8.33,47.00,150,1.02796,18.61,65.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Globigerina ooze,36,48,0,S,19,24,0,E,19.40,-36.80,South of Cape of Good Hope,47,Southeast Atlantic Ocean,,South Africa,19/12/1873,Dredge,1900,2.00,35.60,1900,1.02811,22.78,73.00,1.0247,73,73,,68.5,64,59.5,57.7,56.5,,55,53.8,52.5,,,,,,,,,,,,46.2,,,,43,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Globigerina ooze,45,57,0,S,34,39,0,E,34.65,-45.95,West of Prince Edward Island,58,Antarctic Indian Ocean,,South Africa,24/12/1873,,1570,2.11,35.80,1570,1.02729,6.11,43.00,1.0268,,,,,,,,,,,,41.6,,,,,,,,,,,,38.5,,,,38,37.8,37.6,37.4,37.2,37,36.9,36.8,36.6,36.4,36.2,,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144A,Volcanic sand,46,48,0,S,37,49,30,E,37.83,-46.80,North of Marion Island,58,Antarctic Indian Ocean,,South Africa,26/12/1873,Dredge,69,,,,,5.00,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Volcanic sand,46,43,0,S,38,4,30,E,38.08,-46.72,South-east of Prince Edward Island,58,Antarctic Indian Ocean,,South Africa,27/12/1873,Dredge,140,,,,,5.00,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145A,Volcanic sand,46,41,0,S,38,10,0,E,38.17,-46.68,South-east of Prince Edward Island,58,Antarctic Indian Ocean,,South Africa,27/12/1873,Dredge,310,,,,,5.28,41.50,1.0269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Globigerina ooze,46,46,0,S,45,31,0,E,45.52,-46.77,North-east of Prince Edward Island,58,Antarctic Indian Ocean,,South Africa,29/12/1873,Trawl,1375,2.00,35.60,1375,1.02759,6.11,43.00,1.02675,,,,,,41.1,,,,,,39.2,,,,,,39,,,,,,38.8,,,,,38.3,,37.8,,37.2,,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Diatom ooze,46,16,0,S,48,27,0,E,48.45,-46.27,West of Crozet Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,30/12/1873,Trawl,1600,1.22,34.20,1600,1.02759,5.00,41.00,1.02692,,,,,,40,,,,,,37.4,,,,,,,,,,,,37.1,,,,,36.4,,36.2,,36,,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147A,Diatom ooze,46,45,0,S,50,42,0,E,50.70,-46.75,Crozet Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,01/01/1874,,600,,,,,5.56,42.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Hard ground,46,47,0,S,51,37,0,E,51.62,-46.78,Crozet Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,03/01/1874,Dredge,210,,,,,5.00,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148A,"Hard ground, shells and gravel",46,53,0,S,51,52,0,E,51.87,-46.88,Crozet Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,03/01/1874,Dredge,550,,,,,5.00,41.00,1.02683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Green mud,49,8,0,S,70,12,0,E,70.20,-49.13,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,09/01/1874,Dredge,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149A,Green mud,49,8,0,S,70,9,0,E,70.15,-49.13,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,14/01/1874,Dredge,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149B,Green mud,49,28,0,S,70,30,0,E,70.50,-49.47,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,17/01/1874,Dredge,25,,,,,4.72,40.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
