Station,Sediment_sample,Latitude_Degrees,Latitude_Minutes,Latitude_Seconds,North_South,Longitude_Degrees,Longitude_Minutes,Longitude_Seconds,East_West,Decimal_Longitude,Decimal_Latitude,Location,FAOarea,Water_body,Sea_Area,Place,Date,Gear,Depth_(fathoms),Bottom_water_temperature_(C)_,Bottom_temp_(F),Bottom_water_depth_D_(fathoms),Specific_Gravity_at_bottom,Surface_temp_(C),Surface_temp_(F),Specific_Gravity_at_surface
260,Volcanic mud,21,11,0,N,157,27,0,W,-157.45,21.18,"South-east of Oahu I., Hawaiian Islands",77,Eastern Central Pacific Ocean,,USA,7/27/1875,Trawl,310,6.67,44,310,1.02699,24.89,76.8,
261,Volcanic mud,20,18,0,N,157,14,0,W,-157.23,20.3,East of Hawaii Island,77,Eastern Central Pacific Ocean,,USA,8/12/1875,,2050,1.78,35.2,2050,1.02783,25.83,78.5,1.02314
262,Volcanic mud,19,12,0,N,154,14,0,W,-154.23,19.2,South of Hawaii Island,77,Eastern Central Pacific Ocean,,USA,8/20/1875,,2875,1.78,35.2,2875,1.02775,25.28,77.5,1.02329
263,Volcanic mud,17,33,0,N,153,36,0,W,-153.6,17.55,South of Hawaii Island,77,Eastern Central Pacific Ocean,,USA,8/21/1875,Trawl,2650,1.72,35.1,2650,1.0275,25.28,77.5,1.02336
264,Red clay,14,19,0,N,152,37,0,W,-152.62,14.32,Off south of Hawaiian Islands,77,Eastern Central Pacific Ocean,,USA,8/23/1875,Trawl,3000,1.78,35.2,3000,1.028,25.28,77.5,1.02315
265,Radiolarian ooze,12,42,0,N,152,1,0,W,-152.02,12.7,Off South of Hawaiian Islands,77,Eastern Central Pacific Ocean,,USA,8/25/1875,Dredge,2900,1.67,35,2900,1.0257,26.22,79.2,1.0228
266,Radiolarian ooze,11,7,0,N,152,3,0,W,-152.05,11.12,Off south of Hawaiian Islands,77,Eastern Central Pacific Ocean,,USA,8/26/1875,,2750,1.72,35.1,2750,1.0285,26.67,80,
267,Radiolarian ooze,9,28,0,N,150,49,0,W,-150.82,9.47,Off south of Hawaiian Islands,77,Eastern Central Pacific Ocean,,USA,8/28/1875,,2700,1.67,35,2700,1.02778,26.67,80,1.02191
268,Radiolarian ooze,7,35,0,N,149,49,0,W,-149.82,7.58,"Off North-east of Christmas Island, Line Islands",77,Eastern Central Pacific Ocean,,Kiribati,8/30/1875,,2900,1.56,34.8,2900,1.02776,27.22,81,1.02255
269,Radiolarian ooze,5,54,0,N,147,2,0,W,-147.03,5.9,"Off north-east of Christmas Island, Line Islands",77,Eastern Central Pacific Ocean,,Kiribati,9/2/1875,Dredge,2550,1.78,35.2,2550,1.92777,27.33,81.2,1.02273
270,Globigerina ooze,2,34,0,N,149,9,0,W,-149.15,2.57,"Off east of Christmas Island, Line Islands",77,Eastern Central Pacific Ocean,,Kiribati,9/4/1875,,2925,1.44,34.6,2925,1.02786,26.39,79.5,1.02328
271,Globigerina ooze,0,33,0,S,151,34,0,W,-151.57,-0.55,"Off East of Christmas Island, Line Islands",77,Eastern Central Pacific Ocean,,Kiribati,9/6/1875,Trawl,2425,1.67,35,2425,1.02793,25.94,78.7,1.02383
272,Radiolarian ooze,3,48,0,S,152,56,0,W,-152.93,-3.8,"East of Molden Island, Line Islands",77,Eastern Central Pacific Ocean,,Kiribati,9/8/1875,Trawl,2600,1.72,35.1,2600,1.02848,26.11,79,1.02366
273,Radiolarian ooze,5,11,0,S,152,56,0,W,-152.93,-5.18,"East of Starbuck Island, Line Islands",77,Eastern Central Pacific Ocean,,Kiribati,9/9/1875,,2350,1.39,34.5,,,27.06,80.7,
274,Radiolarian ooze,7,25,0,S,152,15,0,W,-152.25,-7.42,"North of Caroline Island, Line Islands",77,Eastern Central Pacific Ocean,,Kiribati,9/11/1875,Trawl,2750,1.72,35.1,,,26.78,80.2,1.0235
275,Red clay,11,20,0,S,150,30,0,W,-150.5,-11.33,"East of Flint Island, Line Islands",77,Eastern Central Pacific Ocean,,Kiribati,9/14/1875,,2610,1.67,35,2610,1.02808,26.67,80,1.02375
276,Red clay,13,28,0,S,149,30,0,W,-149.5,-13.47,North of Tuamotu Islands,77,Eastern Central Pacific Ocean,,French Polynesia,9/16/1875,Trawl,2350,1.72,35.1,2350,1.02799,26.67,80,1.02326
277,Red clay,15,51,0,S,149,41,0,W,-149.68,-15.85,"North of Tahiti, French Polynesia",77,Eastern Central Pacific Ocean,,French Polynesia,9/17/1875,,2325,1.72,35.1,2325,1.02787,26.11,79,
278,Volcanic mud,17,12,0,S,149,43,0,W,-149.72,-17.2,"North of Tahiti, French Polynesia",77,Eastern Central Pacific Ocean,,French Polynesia,9/18/1875,,1525,2.5,36.5,1525,,26.39,79.5,1.02403
279,Volcanic mud,17,30,26,S,149,33,45,W,-149.56,-17.51,"North of Tahiti, French Polynesia",77,Eastern Central Pacific Ocean,,French Polynesia,10/2/1875,,420,,,,,26.11,79,
279A,Volcanic mud,17,29,53,S,149,34,0,W,-149.57,-17.5,"North of Tahiti, French Polynesia",77,Eastern Central Pacific Ocean,,French Polynesia,10/2/1875,,590,,,,,26.11,79,
279B,Volcanic mud,17,29,38,S,149,34,7,W,-149.57,-17.49,"North of Tahiti, French Polynesia",77,Eastern Central Pacific Ocean,,French Polynesia,10/2/1875,,620,,,,,26.11,79,
279C,Volcanic mud,17,29,11,S,149,34,32,W,-149.58,-17.49,"North of Tahiti, French Polynesia",77,Eastern Central Pacific Ocean,,French Polynesia,10/2/1875,Trawl,680,,,,,26.11,79,
280,Globigerina ooze,18,40,0,S,149,52,0,W,-149.87,-18.67,"South of Tahiti, French Polynesia",77,Eastern Central Pacific Ocean,,French Polynesia,10/4/1875,Trawl,1940,1.83,35.3,1940,1.02842,25.11,77.2,1.02453
281,Red clay,22,21,0,S,150,17,0,W,-150.28,-22.35,"North of Tubai I., French Polynesia",77,Eastern Central Pacific Ocean,,French Polynesia,10/6/1875,Trawl,2385,1.61,34.9,2385,1.02841,23.61,74.5,1.0246
282,Red clay,23,46,0,S,149,59,0,W,-149.98,-23.77,"South of Tubai I., French Polynesia",77,Eastern Central Pacific Ocean,,French Polynesia,10/7/1875,,2450,1.72,35.1,2450,1.02788,22.89,73.2,1.02486
283,Globigerina ooze,26,9,0,S,145,17,0,W,-145.28,-26.15,"Iles Australes, French Polynesia",77,Eastern Central Pacific Ocean,,French Polynesia,10/9/1875,,2075,1.89,35.4,2075,1.02788,20.28,68.5,1.02514
284,Globigerina ooze,28,22,0,S,141,22,0,W,-141.37,-28.37,West of Pitcairn Islands,81,Southwest Pacific Ocean,,British Overseas Territory,10/11/1875,Trawl,1985,1.72,35.1,1985,1.02827,20,68,1.0252
285,Red clay,32,36,0,S,137,43,0,W,-137.72,-32.6,South of Pitcairn Islands,81,Southwest Pacific Ocean,,British Overseas Territory,10/14/1875,Trawl,2375,1.67,35,2375,1.02781,18.33,65,1.02556
286,Red clay,33,20,0,S,133,22,0,W,-133.37,-33.33,South of Pitcairn Islands,81,Southwest Pacific Ocean,,British Overseas Territory,10/16/1875,Trawl,2335,1.56,34.8,2335,1.02777,17.22,63,1.02571
287,Red clay,36,32,0,S,132,52,0,W,-132.87,-36.53,South of Pitcairn Islands,81,Southwest Pacific Ocean,,British Overseas Territory,10/19/1875,,2400,1.5,34.7,2400,1.02771,14.33,57.8,1.02613
288,Red clay,40,3,0,S,132,58,0,W,-132.97,-40.05,South of Pitcairn Islands,81,Southwest Pacific Ocean,,British Overseas Territory,10/21/1875,,2600,1.56,34.8,2600,1.02771,12.5,54.5,1.02613
289,Red clay,39,41,0,S,131,23,0,W,-131.38,-39.68,South of Pitcairn Islands,81,Southwest Pacific Ocean,,British Overseas Territory,10/23/1875,Trawl,2550,1.56,34.8,2550,1.02772,12.5,54.5,1.02597
290,Red clay,39,16,0,S,124,7,0,W,-124.12,-39.27,South of Pitcairn Islands,81,Southwest Pacific Ocean,,British Overseas Territory,10/25/1875,,2300,1.61,34.9,2300,1.02753,11.39,52.5,1.02615
291,Red clay,39,13,0,S,118,49,0,W,-118.82,-39.22,Pacific Antarctic Ridge,81,Southwest Pacific Ocean,,,10/27/1875,Trawl,2250,1.44,34.6,2250,1.02758,11.67,53,1.02548
292,Globigerina ooze,38,43,0,S,112,31,0,W,-112.52,-38.72,Pacific Antarctic Ridge,81,Southwest Pacific Ocean,,,10/29/1875,Trawl,1600,1.78,35.2,1600,1.02765,11.78,53.2,1.02609
293,Globigerina ooze,39,4,0,S,105,5,0,W,-105.08,-39.07,Pacific Antarctic Ridge,81,Southwest Pacific Ocean,,,11/1/1875,Trawl,2025,1.33,34.4,2025,1.02782,12.06,53.7,1.02595
294,Red clay,39,22,0,S,98,46,0,W,-98.77,-39.37,Roggeveen Basin,87,Southeast Pacific Ocean,,,11/3/1875,,2270,1.44,34.6,,,14.17,57.5,
295,Globigerina ooze,38,7,0,S,94,4,0,W,-94.07,-38.12,Roggeveen Basin,87,Southeast Pacific Ocean,,,11/5/1875,Trawl,1500,1.83,35.3,1500,1.02768,14.72,58.5,1.02554
296,Globigerina ooze,38,6,0,S,88,2,0,W,-88.03,-38.1,Roggeveen Basin,87,Southeast Pacific Ocean,,,11/9/1875,Trawl,1825,1.83,35.3,1825,1.0275,15.44,59.8,1.02538
297,Globigerina ooze,37,29,0,S,83,7,0,W,-83.12,-37.48,Off coast of Chile,87,Southeast Pacific Ocean,,Chile,11/11/1875,Trawl,1775,1.94,35.5,1775,1.0277,13.89,57,1.02577
298,Blue mud,34,7,0,S,73,56,0,W,-73.93,-34.12,"South-west of Valparaiso, Chile",87,Southeast Pacific Ocean,,Chile,11/17/1875,Trawl,2225,2,35.6,,,15,59,1.02546
299,Blue mud,33,31,0,S,74,43,0,W,-74.72,-33.52,"South-west of Valparaiso, Chile",87,Southeast Pacific Ocean,,Chile,12/14/1875,Trawl,2160,1.78,35.2,2160,1.02773,16.67,62,1.02505
300,Globigerina ooze,33,42,0,S,78,18,0,W,-78.3,-33.7,"Juan Fernandez Archipelago, Chile",87,Southeast Pacific Ocean,,Chile,12/17/1875,Trawl,1375,1.94,35.5,1375,1.02748,16.94,62.5,1.02497
301,,37,29,0,S,84,2,0,W,-84.03,-37.48,Off coast of Chile,87,Southeast Pacific Ocean,,Chile,12/22/1875,,,,,,,15.28,59.5,1.02545
302,Red clay,42,43,0,S,82,11,0,W,-82.18,-42.72,"Off Isla Chiloe, Chile",87,Southeast Pacific Ocean,,Chile,12/28/1875,Trawl,1450,2,35.6,1450,1.02766,12.78,55,1.02589
303,Blue mud,45,31,0,S,78,9,0,W,-78.15,-45.52,"Off Chonos Archipelago, Chile",87,Southeast Pacific Ocean,,Chile,12/30/1875,,1325,2.22,36,1325,1.02766,12.67,54.8,1.02544
304,Green mud,46,53,15,S,75,12,0,W,-75.2,-46.89,"Port Otway, Chile",87,Southeast Pacific Ocean,,Chile,12/31/1875,Dredge,45,,,,,14,57.2,1.02327
305,Blue mud,47,47,0,S,74,47,0,W,-74.78,-47.78,"Gulf of Penas, Chile",87,Southeast Pacific Ocean,,Chile,1/1/1876,,165,,,,,13.06,55.5,
305A,Blue mud,47,48,30,S,74,47,0,W,-74.78,-47.81,"Gulf of Penas, Chile",87,Southeast Pacific Ocean,,Chile,1/1/1876,Trawl,125,,,,,12.78,55,
305B,Blue mud,47,48,0,S,74,46,0,W,-74.77,-47.8,"Gulf of Penas, Chile",87,Southeast Pacific Ocean,,Chile,1/1/1876,Trawl,160,,,160,1.02577,12.78,55,
306,Blue mud,48,17,0,S,74,33,0,W,-74.55,-48.28,"Messier Channel, Chile",87,Southeast Pacific Ocean,,Chile,1/2/1876,,565,,,,,13.89,57,1.01557
306A,Blue mud,48,27,0,S,74,30,0,W,-74.5,-48.45,"Messier Channel, Chile",87,Southeast Pacific Ocean,,Chile,1/2/1876,Trawl,345,7.78,46,345,1.02657,14.17,57.5,
307,Blue mud,49,24,30,S,74,23,30,W,-74.39,-49.41,"Messier Channel, Chile",87,Southeast Pacific Ocean,,Chile,1/4/1876,Trawl,140,,,140,1.02606,11.67,53,1.01585
308,Blue mud,50,8,30,S,74,41,0,W,-74.68,-50.14,"Concepcion Channel, Chile",87,Southeast Pacific Ocean,,Chile,1/5/1876,Trawl,175,,,,,10.94,51.7,
309,Blue mud,50,56,0,S,74,15,0,W,-74.25,-50.93,"Puerto Bueno, Hanover Island, Chile",87,Southeast Pacific Ocean,,Chile,1/8/1876,,40,8.33,47,,,10.28,50.5,1.02
309A,Blue mud,50,56,0,S,74,14,0,W,-74.23,-50.93,"Puerto Bueno, Hanover Island, Chile",87,Southeast Pacific Ocean,,Chile,1/8/1876,Trawl,140,,,140,1.02584,10.28,50.5,
310,Blue mud,51,27,30,S,74,3,0,W,-74.05,-51.46,"Sarmineto Channel, Queen Adelaide Archipelago, Chile",87,Southeast Pacific Ocean,,Chile,1/10/1876,Trawl,400,8.06,46.5,400,1.02589,10.28,50.5,1.02013
311,Blue mud,52,45,30,S,73,46,0,W,-73.77,-52.76,"South of Queen Adelaide Archipelago, Chile",87,Southeast Pacific Ocean,,Chile,1/11/1876,Trawl,245,7.78,46,245,1.02596,10,50,1.02011
312,Blue mud,53,37,30,S,70,56,0,W,-70.93,-53.63,"Port Famine, Magellan Strait, Chile",87,Southeast Pacific Ocean,Magellan Strait,Chile,1/13/1876,Dredge,9,,,,,8.78,47.8,1.02271
313,Coarse sand,52,20,0,S,67,39,0,W,-67.65,-52.33,"Off Cape Virgins, Argentina",41,Southwest Atlantic Ocean,,Argentina,1/20/1876,Trawl,55,8.78,47.8,55,1.02567,9,48.2,1.02562
314,Coarse sand,51,35,0,S,65,39,0,W,-65.65,-51.58,"Off Cape Virgins, Argentina",41,Southwest Atlantic Ocean,,Argentina,1/21/1876,Trawl,70,7.78,46,70,1.02618,8.89,48,1.02595
314A,Hard ground,51,24,0,S,61,46,0,W,-61.77,-51.4,West of Falkland Islands,41,Southwest Atlantic Ocean,,British Overseas Territory,1/22/1876,Trawl,110,5.44,41.8,110,1.02677,9.44,49,1.02605
315,Sand and gravel,51,40,0,S,57,50,0,W,-57.83,-51.67,Falkland Islands,41,Southwest Atlantic Ocean,,British Overseas Territory,1/26/1876,Dredge,12,,,,,10,50, 
316,,51,32,0,S,58,6,0,W,-58.1,-51.53,Falkland Islands,41,Southwest Atlantic Ocean,,British Overseas Territory,2/3/1876,Dredge,4,,,,,10.67,51.2,
317,Sandy gravel,48,37,0,S,55,17,0,W,-55.28,-48.62,North-east of Falkland Islands,41,Southwest Atlantic Ocean,,British Overseas Territory,2/8/1876,Trawl,1035,2.06,35.7,1035,1.02735,8.17,46.7,1.0266
318,Globigerina ooze,42,32,0,S,56,29,0,W,-56.48,-42.53,"Off south-west of Mar del Plata, Argentina",41,Southwest Atlantic Ocean,,Argentina,2/11/1876,Trawl,2040,0.94,33.7,2040,1.02795,14.17,57.5,1.02553
319,Blue mud,41,54,0,S,54,48,0,W,-54.8,-41.9,"Off south-west of Mar del Plata, Argentina",41,Southwest Atlantic Ocean,,Argentina,2/12/1876,,2425,0.39,32.7,2425,1.02765,15.28,59.5,
320,Blue mud,37,17,0,S,53,52,0,W,-53.87,-37.28,"Off Rio La Plata, Argentina",41,Southwest Atlantic Ocean,,Argentina,2/14/1876,Trawl,600,2.89,37.2,600,1.02738,19.72,67.5,1.02425
321,Blue mud,35,2,0,S,55,15,0,W,-55.25,-35.03,"Off Montevideo, Uruguay",41,Southwest Atlantic Ocean,,Uruguay,2/25/1876,Trawl,13,,,,,23.06,73.5,
322,Sand and shells,35,20,0,S,53,42,0,W,-53.7,-35.33,"Off Montevideo, Uruguay",41,Southwest Atlantic Ocean,,Uruguay,2/26/1876,Trawl,21,,,,,21.94,71.5,
323,Blue mud,35,39,0,S,50,47,0,W,-50.78,-35.65,"Off Montevideo, Uruguay",41,Southwest Atlantic Ocean,,Uruguay,2/28/1876,Trawl,1900,0.61,33.1,1900,1.0286,23.06,73.5,1.02477
324,Blue mud,36,9,0,S,48,22,0,W,-48.37,-36.15,Argentine Basin,41,Southwest Atlantic Ocean,,Argentina,2/29/1876,Trawl,2800,0.33,32.6,2800,1.02816,21.94,71.5,1.02443
325,Blue mud,36,44,0,S,46,16,0,W,-46.27,-36.73,Argentine Basin,41,Southwest Atlantic Ocean,,Argentina,3/2/1876,Trawl,2650,0.39,32.7,2650,1.02796,21.56,70.8,1.02523
326,Blue mud,37,3,0,S,44,17,0,W,-44.28,-37.05,Argentine Basin,41,Southwest Atlantic Ocean,,Argentina,3/3/1876,,2775,0.39,32.7,2775,1.02798,19.89,67.8,
327,Red clay,36,48,0,S,42,45,0,W,-42.75,-36.8,Argentine Basin,41,Southwest Atlantic Ocean,,Argentina,3/4/1876,,2900,0.44,32.8,2900,1.02829,21.22,70.2,
328,Red clay,37,38,0,S,39,36,0,W,-39.6,-37.63,Argentine Basin,41,Southwest Atlantic Ocean,,Argentina,3/6/1876,,2900,0.5,32.9,,,20,68,
329,Red clay,37,31,0,S,36,7,0,W,-36.12,-37.52,Argentine Basin,41,Southwest Atlantic Ocean,,Argentina,3/7/1876,,2675,0.17,32.3,2675,1.0279,18.06,64.5,
330,Red clay,37,45,0,S,33,0,0,W,-33,-37.75,Argentine Basin,41,Southwest Atlantic Ocean,,Argentina,3/8/1876,,2440,0.39,32.7,2440,1.02821,17.89,64.2,
331,Globigerina ooze,37,47,0,S,30,20,0,W,-30.33,-37.78,Argentine Basin,41,Southwest Atlantic Ocean,,Argentina,3/9/1876,Trawl,1715,1.89,35.4,1715,1.0279,18.06,64.5,1.02568
332,Globigerina ooze,37,29,0,S,27,31,0,W,-27.52,-37.48,Argentine Basin,41,Southwest Atlantic Ocean,,Argentina,3/10/1876,Trawl,2200,1.11,34,2200,1.0279,17.78,64,1.02604
333,Globigerina ooze,35,36,0,S,21,12,0,W,-21.2,-35.6,Mid Atlantic Ridge,41,Southwest Atlantic Ocean,,,3/13/1876,Trawl,2025,1.83,35.3,2025,1.0279,19.44,67,
334,Globigerina ooze,35,45,0,S,18,31,0,W,-18.52,-35.75,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,3/14/1876,Trawl,1915,2.11,35.8,1915,1.02808,20.28,68.5,1.02473
335,Pteropod ooze,32,24,0,S,13,5,0,W,-13.08,-32.4,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,3/16/1876,Dredge,1425,2.78,37,1425,1.02783,23.06,73.5,1.02473
336,Globigerina ooze,27,54,0,S,13,13,0,W,-13.22,-27.9,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,3/18/1876,,1890,2.5,36.5,1890,1.0279,24.44,76,
337,Pteropod ooze,24,38,0,S,13,36,0,W,-13.6,-24.63,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,3/19/1876,Dredge,1240,2.89,37.2,1240,1.02842,25,77,1.02453
338,Globigerina ooze,21,15,0,S,14,2,0,W,-14.03,-21.25,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,3/21/1876,Dredge,1990,2.39,36.3,,,24.72,76.5,1.0251
339,Pteropod ooze,17,26,0,S,13,52,0,W,-13.87,-17.43,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,3/23/1876,,1415,2.89,37.2,1415,1.02765,24.44,76,1.02524
340,Pteropod ooze,14,33,0,S,13,42,0,W,-13.7,-14.55,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,3/24/1876,,1500,3.11,37.6,1500,1.02794,25.11,77.2,
341,Pteropod ooze,12,16,0,S,13,44,0,W,-13.73,-12.27,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,3/25/1876,,1475,3.44,38.2,1475,1.02794,26.11,79,
342,Pteropod ooze,9,43,0,S,13,51,0,W,-13.85,-9.72,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,3/26/1876,,1445,3.06,37.5,1445,1.02797,26.67,80,
343,Volcanic sand,8,3,0,S,14,27,0,W,-14.45,-8.05,Ascension Island,34,Eastern Central Atlantic Ocean,,British Overseas Territory,3/27/1876,Dredge,425,4.61,40.3,425,1.02793,27.11,80.8,1.02373
344,Volcanic sand,7,54,20,S,14,28,20,W,-14.47,-7.91,Ascension Island,34,Eastern Central Atlantic Ocean,,British Overseas Territory,4/3/1876,Dredge,420,,,,,27.78,82,1.0232
345,Globigerina ooze,5,45,0,S,14,25,0,W,-14.42,-5.75,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,4/4/1876,,2010,2.67,36.8,2010,1.02798,28.22,82.8,1.02278
346,Globigerina ooze,2,42,0,S,14,41,0,W,-14.68,-2.7,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,4/6/1876,Dredge,2350,1.11,34,2350,1.02838,28.17,82.7,1.02275
347,Globigerina ooze,0,15,0,S,14,25,0,W,-14.42,-0.25,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,4/7/1876,,2250,2.33,36.2,2250,1.02791,27.78,82,1.02303
348,Globigerina ooze,3,10,0,N,14,51,0,W,-14.85,3.17,Sierra Leone Basin,34,Eastern Central Atlantic Ocean,,Sierra Leone,4/9/1876,,,,,,,28.89,84,1.0221
349,,5,28,0,N,14,38,0,W,-14.63,5.47,Off Liberia,34,Eastern Central Atlantic Ocean,,Liberia,4/10/1876,,,,,,,28.61,83.5,
350,,7,33,0,N,15,16,0,W,-15.27,7.55,Off Sierra Leone,34,Eastern Central Atlantic Ocean,,Sierra Leone,4/11/1876,,,,,,,28.89,84,
351,,9,9,0,N,16,41,0,W,-16.68,9.15,Off coast of Guinea,34,Eastern Central Atlantic Ocean,,Guinea,4/12/1876,,,,,,,27.67,81.8,
352,,10,55,0,N,17,46,0,W,-17.77,10.92,Off coast of Guinea,34,Eastern Central Atlantic Ocean,,Guinea,4/13/1876,,,,,,,25.39,77.7,
353,Red clay,26,21,0,N,33,37,0,W,-33.62,26.35,Mid Atlantic,34,Eastern Central Atlantic Ocean,,,5/3/1876,,2965,3.11,37.6,2965,1.02909,21.5,70.7,1.02622
354,Globigerina ooze,32,41,0,N,36,6,0,W,-36.1,32.68,Mid Atlantic,34,Eastern Central Atlantic Ocean,,,5/6/1876,,1675,3.22,37.8,1675,1.0286,21.11,70,1.02593
